---------------------------------------------------------------------
Országos Egyesületi Váltóbajnokság 2016            V 2016.10.16. 2:57
Online monitor for intermediate times - Client - COM8:
-------------OS2010 © Stephan Krämer SportSoftware 2015--------------

	Read at 	Control 	Chip 	Punch 	Error 
	13:15:03 	Finish 	307777 	13:15:00 	 
	13:15:12 	Finish 	2056160 	13:15:09 	 
	13:15:17 	Finish 	2022135 	13:15:13 	 
	13:15:50 	Finish 	2054401 	13:15:47 	 
	13:15:54 	Finish 	2015818 	13:15:51 	 
	13:16:12 	Finish 	232754 	13:16:08 	 
	13:16:27 	Finish 	232754 	13:16:24 	 
	13:16:36 	Finish 	1396203 	13:16:32 	 
	13:16:47 	Finish 	2087744 	13:16:44 	 
	13:17:04 	Finish 	4714732 	13:17:01 	 
	13:17:12 	Finish 	505226 	13:17:09 	 
	13:17:24 	Finish 	505226 	13:17:20 	 
	13:17:47 	Finish 	7580930 	13:17:43 	 
	13:18:15 	Finish 	2066460 	13:18:12 	 
	13:18:20 	Finish 	45489 	13:18:16 	 
	13:18:37 	Finish 	2009103 	13:18:33 	 
	13:18:41 	Finish 	2072205 	13:18:38 	 
	13:18:46 	Finish 	443170 	13:18:43 	 
	13:19:28 	Finish 	2800241 	13:19:25 	 
	13:19:34 	Finish 	505236 	13:19:31 	 
	13:19:38 	Finish 	2056169 	13:19:35 	 
	13:20:28 	Finish 	7740712 	13:20:25 	 
	13:20:31 	Finish 	7570705 	13:20:28 	 
	13:20:50 	Finish 	45150 	13:20:47 	 
	13:21:49 	Finish 	2050670 	13:21:46 	 
	13:22:58 	Finish 	2082374 	13:22:54 	 
	13:22:59 	Finish 	2082373 	13:22:56 	 
	13:23:08 	Finish 	2067271 	13:23:05 	 
	13:23:11 	Finish 	4714762 	13:23:08 	 
	13:23:16 	Finish 	233619 	13:23:12 	 
	13:23:24 	Finish 	4714759 	13:23:20 	 
	13:23:29 	Finish 	1721229 	13:23:26 	 
	13:23:47 	Finish 	411919 	13:23:43 	 
	13:24:18 	Finish 	7700420 	13:24:15 	 
	13:24:50 	Finish 	888340 	13:24:46 	 
	13:25:42 	Finish 	307600 	13:25:39 	 
	13:25:44 	Finish 	2052339 	13:25:41 	 
	13:25:46 	Finish 	2014983 	13:25:42 	 
	13:25:49 	Finish 	2022126 	13:25:46 	 
	13:25:56 	Finish 	2052306 	13:25:52 	 
	13:26:06 	Finish 	1396262 	13:26:03 	 
	13:26:10 	Finish 	2015014 	13:26:07 	 
	13:26:27 	Finish 	2072221 	13:26:23 	 
	13:26:28 	Finish 	700005 	13:26:25 	 
	13:26:31 	Finish 	307553 	13:26:28 	 
	13:26:37 	Finish 	8406702 	13:26:34 	 
	13:27:03 	Finish 	332807 	13:27:00 	 
	13:27:15 	Finish 	207958 	13:27:12 	 
	13:28:09 	Finish 	332825 	13:28:05 	 
	13:28:29 	Finish 	2033994 	13:28:25 	 
	13:28:30 	Finish 	2033993 	13:28:27 	 
	13:29:45 	Finish 	45501 	13:29:42 	 
	13:30:03 	Finish 	45527 	13:29:59 	 
	13:30:08 	Finish 	2033997 	13:30:04 	 
	13:30:46 	Finish 	1418059 	13:30:43 	 
	13:31:02 	Finish 	505276 	13:30:59 	 
	13:31:07 	Finish 	888338 	13:31:04 	 
	13:31:47 	Finish 	4461 	13:31:43 	 
	13:32:38 	Finish 	2022204 	13:32:34 	 
	13:33:06 	Finish 	45227 	13:33:03 	 
	13:33:10 	Finish 	307591 	13:33:06 	 
	13:33:15 	Finish 	443189 	13:33:12 	 
	13:34:05 	Finish 	504276 	13:34:02 	 
	13:34:10 	Finish 	2026839 	13:34:06 	 
	13:34:53 	Finish 	2082335 	13:34:49 	 
	13:34:59 	Finish 	7710519 	13:34:56 	 
	13:35:06 	Finish 	222965 	13:35:02 	 
	13:35:27 	Finish 	888350 	13:35:24 	 
	13:35:31 	Finish 	2066455 	13:35:28 	 
	13:35:50 	Finish 	505300 	13:35:46 	 
	13:35:53 	Finish 	307520 	13:35:50 	 
	13:36:43 	Finish 	233642 	13:36:40 	 
	13:37:27 	Finish 	2066468 	13:37:23 	 
	13:37:32 	Finish 	2026883 	13:37:29 	 
	13:37:51 	Finish 	9000820 	13:37:48 	 
	13:37:55 	Finish 	233590 	13:37:52 	 
	13:37:56 	Finish 	2037705 	13:37:53 	 
	13:38:15 	Finish 	443188 	13:38:11 	 
	13:38:18 	Finish 	46091 	13:38:15 	 
	13:38:19 	Finish 	2079336 	13:38:16 	 
	13:38:23 	Finish 	411917 	13:38:20 	 
	13:38:26 	Finish 	1396169 	13:38:22 	 
	13:38:27 	Finish 	46100 	13:38:23 	 
	13:38:35 	Finish 	2009124 	13:38:32 	 
	13:39:58 	Finish 	888341 	13:39:54 	 
	13:40:15 	Finish 	992 	13:40:11 	 
	13:40:17 	Finish 	45450 	13:40:14 	 
	13:41:11 	Finish 	505249 	13:41:08 	 
	13:41:38 	Finish 	2033995 	13:41:35 	 
	13:41:40 	Finish 	2019792 	13:41:37 	 
	13:42:37 	Finish 	8636770 	13:42:33 	 
	13:42:39 	Finish 	9930000 	13:42:36 	 
	13:42:41 	Finish 	2066473 	13:42:37 	 
	13:42:47 	Finish 	345932 	13:42:43 	 
	13:42:56 	Finish 	1396279 	13:42:52 	 
	13:43:00 	Finish 	416658 	13:42:56 	 
	13:43:11 	Finish 	700504 	13:43:07 	 
	13:44:32 	Finish 	2061645 	13:44:29 	 
	13:45:22 	Finish 	2082341 	13:45:18 	 
	13:45:51 	Finish 	502394 	13:45:47 	 
	13:45:54 	Finish 	307582 	13:45:50 	 
	13:47:13 	Finish 	2037709 	13:47:10 	 
	13:47:17 	Finish 	9041470 	13:47:13 	 
	13:47:25 	Finish 	2056183 	13:47:22 	 
	13:47:36 	Finish 	2056183 	13:47:32 	 
	13:47:55 	Finish 	45376 	13:47:51 	 
	13:48:37 	Finish 	46092 	13:48:33 	 
	13:49:35 	Finish 	2066487 	13:49:32 	 
	13:50:02 	Finish 	7990513 	13:49:58 	 
	13:50:21 	Finish 	1396119 	13:50:18 	 
	13:50:23 	Finish 	222978 	13:50:19 	 
	13:50:39 	Finish 	2006741 	13:50:35 	 
	13:51:06 	Finish 	2052307 	13:51:02 	 
	13:51:08 	Finish 	2052329 	13:51:05 	 
	13:51:18 	Finish 	4714767 	13:51:15 	 
	13:51:20 	Finish 	2052332 	13:51:16 	 
	13:51:43 	Finish 	45252 	13:51:40 	 
	13:51:54 	Finish 	2009004 	13:51:51 	 
	13:51:57 	Finish 	2052318 	13:51:54 	 
	13:51:59 	Finish 	2019802 	13:51:56 	 
	13:52:04 	Finish 	45235 	13:52:01 	 
	13:52:14 	Finish 	2037757 	13:52:11 	 
	13:52:19 	Finish 	942 	13:52:16 	 
	13:52:53 	Finish 	8160903 	13:52:49 	 
	13:53:05 	Finish 	332835 	13:53:02 	 
	13:53:33 	Finish 	502917 	13:53:30 	 
	13:53:49 	Finish 	2072282 	13:53:45 	 
	13:53:52 	Finish 	46093 	13:53:49 	 
	13:53:59 	Finish 	339849 	13:53:56 	 
	13:54:57 	Finish 	800000 	13:54:54 	 
	13:55:29 	Finish 	500582 	13:55:25 	 
	13:56:49 	Finish 	2025031 	13:56:46 	 
	13:57:11 	Finish 	8636768 	13:57:07 	 
	13:57:48 	Finish 	232753 	13:57:45 	 
	13:57:53 	Finish 	2067297 	13:57:50 	 
	13:57:56 	Finish 	1396187 	13:57:53 	 
	13:58:20 	Finish 	363465 	13:58:17 	 
	13:58:24 	Finish 	2052330 	13:58:20 	 
	13:58:46 	Finish 	222923 	13:58:43 	 
	13:58:52 	Finish 	2061650 	13:58:49 	 
	13:58:53 	Finish 	2022111 	13:58:50 	 
	13:59:11 	Finish 	888335 	13:59:08 	 
	13:59:27 	Finish 	45293 	13:59:24 	 
	13:59:49 	Finish 	2009110 	13:59:46 	 
	13:59:52 	Finish 	1418061 	13:59:49 	 
	14:00:15 	Finish 	2009116 	14:00:12 	 
	14:00:47 	Finish 	45537 	14:00:44 	 
	14:01:30 	Finish 	2015021 	14:01:26 	 
	14:01:54 	Finish 	4714766 	14:01:51 	 
	14:03:26 	Finish 	332802 	14:03:23 	 
	14:03:38 	Finish 	7801040 	14:03:34 	 
	14:03:44 	Finish 	2072227 	14:03:40 	 
	14:04:08 	Finish 	505203 	14:04:05 	 
	14:04:28 	Finish 	2092462 	14:04:25 	 
	14:04:43 	Finish 	416640 	14:04:39 	 
	14:04:44 	Finish 	1006655 	14:04:41 	 
	14:04:53 	Finish 	2022134 	14:04:50 	 
	14:04:56 	Finish 	45387 	14:04:52 	 
	14:06:26 	Finish 	2050687 	14:06:23 	 
	14:07:12 	Finish 	45130 	14:07:09 	 
	14:07:20 	Finish 	222988 	14:07:16 	 
	14:10:21 	Finish 	363410 	14:10:18 	 
	14:11:34 	Finish 	8636776 	14:11:30 	 
	14:11:38 	Finish 	2913 	14:11:34 	 
	14:12:17 	Finish 	443159 	14:12:14 	 
	14:14:43 	Finish 	8197012 	14:14:40 	 
	14:14:51 	Finish 	505216 	14:14:47 	 
	14:16:08 	Finish 	9940627 	14:16:05 	 
	14:16:16 	Finish 	881 	14:16:13 	 
	14:16:21 	Finish 	1980414 	14:16:17 	 
	14:17:46 	Finish 	7201400 	14:17:42 	 
	14:19:04 	Finish 	9700420 	14:19:00 	 
	14:19:09 	Finish 	2056180 	14:19:05 	 
	14:19:48 	Finish 	443151 	14:19:45 	 
	14:19:51 	Finish 	233597 	14:19:47 	 
	14:19:58 	Finish 	2079350 	14:19:55 	 
	14:20:15 	Finish 	4468 	14:20:11 	 
	14:20:56 	Finish 	8011222 	14:20:53 	 
	14:21:09 	Finish 	307528 	14:21:05 	 
	14:21:59 	Finish 	1406123 	14:21:55 	 
	14:22:11 	Finish 	332822 	14:22:08 	 
	14:22:16 	Finish 	2056155 	14:22:12 	 
	14:22:33 	Finish 	1396146 	14:22:30 	 
	14:22:45 	Finish 	1418068 	14:22:41 	 
	14:25:10 	Finish 	505266 	14:25:07 	 
	14:25:27 	Finish 	7991029 	14:25:24 	 
	14:26:02 	Finish 	7205884 	14:25:58 	 
	14:26:52 	Finish 	4714734 	14:26:48 	 
	14:26:57 	Finish 	2092461 	14:26:54 	 
	14:27:41 	Finish 	7897273 	14:27:38 	 
	14:28:12 	Finish 	416698 	14:28:09 	 
	14:30:29 	Finish 	2037807 	14:30:26 	 
	14:31:46 	Finish 	416614 	14:31:43 	 
	14:32:13 	Finish 	7750416 	14:32:10 	 
	14:38:48 	Finish 	7205532 	14:38:45 	 
	14:39:30 	Finish 	2048860 	14:39:26 	 
	14:40:11 	Finish 	222976 	14:40:07 	 
	14:41:32 	Finish 	332826 	14:41:28 	 
	14:41:49 	Finish 	7610506 	14:41:46 	 
	14:41:57 	Finish 	339852 	14:41:54 	 
	14:42:01 	Finish 	7201395 	14:41:57 	 
	14:42:10 	Finish 	232799 	14:42:06 	 
	14:42:16 	Finish 	2052345 	14:42:13 	 
	14:42:23 	Finish 	8625620 	14:42:20 	 
	14:42:36 	Finish 	2019818 	14:42:32 	 
	14:42:40 	Finish 	411915 	14:42:37 	 
